Từ	Nghĩa
Ajĭk (dt)	Eùaúch. 
Ak (dt)	Con quạ. Ju\ mse\ si ak: đen như quạ.
Akăt (dt)	Bụi (khóm). Akăt kram: Bụi tre.
Akâo (đgt)	Xin. Akâo prăk: Xin tiền; Akâo êa mnăm: Xin nước uống.
Ala (dt)	Con răn. Ala knăl: Răn giun; Ala mtah: Răn lục.
Ala čar (dt)	Tổ quốc. Ala ]ar Việt Nam: Tổ quốc Việt Nam. 
Ala čar tač êngao (dt) 	Nước ngịi.
Alah (tt)	Lười biếng. Alah mă bruă: Lười làm việc; Mnuih alah: Người lười biếng.
Alah alan (tt)	Uể oải. Mă bruă alah alan: Làm việc uể oải.
Ală (dt)	Măt. Pyøt ală: Nhăm măt.
Ală kĭng (dt)	Kính. Truă ală kyøng: đeo kính.
Ală mmăt (tt)	Cận thị. Ală mmăt kjham: Măt cận thị nặng.
Alĕ, Aluê̆ (đgt)	Nhả.  Ale\ djah êhăng: Nhả bã trầu.
Alê (dt)	Le.
Alôk (đgt)	Lột. Alôk boh [ơr: Lột vỏ quả bơ.
Alum akâo (đgt)	Cầu xin. Alum akâo kơ aê êa drao đru mdrao brei anak kâo: Cầu xin bác sĩ cứu chữa con tôi.
Alum kkuh (đgt)	Kính thưa.
Alum mpŭ (đgt)	Trân trọng
Alŭ (dt)	Thôn
Alŭ wăl (dt)	Vùng.
Alŭ ƀuôn prŏng	Phố phường.
Alưñ (tt)	Gớm. Alưyû bưyû: Gớm giếc.
Am pul pui (dt) 	Bóng đèn. Am pul pui kmlă: Bóng điện.
Ama (dt)	Bố (cha).
Amai (dt)	Chị.
Amâo (pht)	Không. Amâo mâo: Không có; Kâo amâo mâo prăk: Tôi không có tiền; Amâo guôp: Không hợp.
Amâo dah (lt)	Hay (hoặc). Kâo amâo dah ih nao: Tôi hay anh đi.
Amâo dưi 	 
Amâo djŏ ai (tt)	Không vừa lòng. Aáu mă bruă amâo djo\ ai amyø ama: Nó làm việc không vừa lòng bố mẹ.
Amâo djŏ knŏng (trgt)	Chẳng những. Amâo djo\ kno\ng hriăm hră kriăng ôh
Amâo kpă (tt)	Bất chính. Klei ngă amâo kpă: Hành động bất chính. 
Amâo klă mngač (tt)	Bất minh. Mje\ mjuk amâo klă mnga]: Quan hệ bất minh.
Amâo răk (đgt)	Bất cứ
Amâo răk rai (hư từ)	Bất diệt. Klei đao\ knang amâo răk rai: Niềm tin bất diệt.
Amâo thâo knga (tt)	Vô ơn.: Người vô ơn.
Amâo mâo tŭ ư (đgt)	Phản đối. Tôi phản đối anh ta làm việc không đúng.
Amiêt (dt)	Cậu. Anei amiêt kâo: đây là cậu tôi.
Amĭ (dt)	Mẹ (má).
Amĭ ama hđeh (dt)	Phụ huynh.
Amlơ̆k (dt)	Cám. Amlơ\k ]iêm u\n: Cám lợn.
Amra (pht)	Sẽ. Kâo amra nao: Tôi sẽ đi.
Amrak (dt)	Con công. Rông amrak pioh dlăng: Nuôi công làm cảnh.
Amrê̆č (dt)	Eûoût. Sang kâo mâo pla amre#]: nhà tôi có trồng ớt.
Amung mtei (dt)	Buồng chuối. Amyø koh amung mtei: Mẹ chặt buồng chuối.
Amung mdiê (dt)	Bông luôa. 
Amung kngan (dt)	Mu tay.
Amung ŭn (dt)	Mõm lợn (heo).
Amuôn (dt)	Cháu (cháu với cậu
Ana 	I.(dt) cây. Ana kneh: cây mít. Ana truôl: cây ổi.
                                  	Ii.(tt) giống cái (từ dùng chỉ động vật giống cái). Uyõn ana: lợn nái; mnu\ ana: gà mái.
Anak (dt)	Con (dùng cho người). 
Anak ală (dt)	Con ngươi.
Anak ĭ (dt)	Trẻ sơ sinh.
Anak rai (dt)	Con rồng.
Anal (dt)	Con sâu nái.
Anal kŏ (dt)	Cái gối.
Anăn 	I.(dt) tên. Anăn kâo nam: tên tôi là nam.
                                  	Ii.(đại từ chỉ định) đó
Anăn kdrưh (dt)	Danh hiệu.
Anăp (giơïi từ)	Trước. Ti anăp: Phía trước. 
Anei (đt)	Đây. Anei [yøng kâo: đây là bạn tôi. Kâo mă bruă ti anei: tôi làm việc ở đây. 
Aneh (dt)	Deã.
Angĭn (dt)	Gió. Angyøn dưr: Gió băc. Angyøn đru\ng: Gió lốc
Angĭn êbŭ (dt)	Bão.
Angưr (đgt)	Ngẩng. Angưr ko\: Ngẩng đầu.
Anghar (đgt)	Ngáy. Pyøt anghar [rok [rok: Ngủ ngáy khò khò.
Anôk (dt)	Nơi
Anôk dôk (dt)	Nơi ở
Anôk dôk êjai (dt)	Nơi tạm truô.
Anôk mjưh (dt)	Nơi dừng. Anôk mjưh êdeh: Bến xe.
Anôk mjưh mran (dt)	Cảng.
Anuă (dt)	Cái cưa.
Anŭng (dt)	Tuôi. Anu\ng hăt: Tuôi thuốc lá.
Anur (dt)	Con duôi.
Anut (dt)	Cái cuôc áo. Sa boh anut: Một cái cuôc. 
Añŭ (dt)	Hạt cườm (chuỗi). Kngan buh ayûu\: Cổ tay đeo cườm.
Añuê (dt)	Chiếu. Lang ayûuê kơ adei pyøt: Trải chiếu cho em ngủ.
Añhuôr (đgt)	Duỗi. Ayûhuôr jơ\ng ]iăng đăm êgah: Duỗi chân cho đỡ mỏi.
Añhuih (đgt)	Hỉ. Ayûhuih êa adu\ng: Hỉ mũi.
Ao (dt)	Aoûo. Ao ko#: Aoûo trăng. Ao hjan: Aoûo mưa.
Ap (đgt)	Đè.
Ap gư̆ (đgt) 	Đàn áp.
Aprŏng (dt)	Bác (chị của mẹ).
Ară anei (trgt)	Hiện nay
Arăn (đgt)	Rặn. Arăn kkiêng: Rặn sinh.
Arăng (đt)	Người ta. Kâo hmư\ arăng blu\ lu kơ ayo\ng: Tôi nghe người ta nói nhiều về anh.
Areh (dt)	Con rệp. Areh ke\ ktăl êdi: Rệp căn ngứa thật.
Ariêng (dt)	Con cua.
Aruăt (dt)	Gân
Arul (dt)	Họ của người Êđê.
Arưp aram (đgt)	Đe dọa. Phung roh arưp aram mdjiê jih mnuih [uôn sang: bọn giặc đe dọa giết sạch dân làng.
Asăp (dt)	1. Lời. Asăp blu\: Lời nói.
	2. Khói. Asăp pui: Khói lửa.
Asăp mtrŭn (dt)	Nghị quyết
Asăr (dt)	1.hạt
	2. Viên. Asăr phao: Viên đạn.
Aseh (dt)	Con ngựa. Sang kâo mâo rông dua drei aseh ko#: Nhà tôi có nuôi hai con ngựa trăng.
Asâo (dt)	Con chó. Rông dua drei asâo: Nuôi hai con chó.
Asei (dt)	Thân
Asei mlei (dt)	Thân thể
Asei wah (dt)	Lưỡi câu.
Atăt (đgt)	Đón. Atăt ba kâo nao truh ti anôk ayo\ng mă bruă: Đón tôi đi đến nơi anh làm việc.
Atâo (dt)	Người chết (thi hài người chết).
Ai tiê (dt)	Tấm lòng.
Ai tiê jăk (dt)	Sự tốt bụng
Ai tiê kriăng (tt)	Chăm chỉ
Atŭt (dt)	Đốt. Atu\t kram: đốt tre; atu\t kđiêng kngan: đốt ngón tay. Atu\t klang ro\ng: đốt sống. 
Atiêng (dt)	Nhánh. Atiêng êya: Nhánh gừng.
Awa (dt)	Bác (anh trai và chị gái của bố). Awa Hồ: Bác Hồ. 
Awak (dt)	Cái theãa.
Awak boh (dt)	Cái muôi (làm băôûng tre).
Awan (dt)	Khuôc
Awăt (tt)	Yếu
Ayŏng (dt)	Anh. Ayo\ng adei: Anh em.
Ayŏng khua (dt)	Anh cả.
	 
A	 
Al (đgt)	Măng
Al čôñ (tt)	Giận hờn.
Am (đgt)	Nướng. Aûm ]yøm ]iăng bi ksă: Nướng thịt cho chín.
Ap (đgt)	1. Bịt. Aûp đyøng êa: Bịt ống nước. 
                                  	2. Aoûp. Aûp knga ti mtih: Aoûp tai vào vách.
	3. Chườm. Kdô pioh ăp: Tuôi chườm.
At (pht)	1. Vón. Kâo ăt dôk ti anôk hđăp: Tôi vón ở chỗ cũ.
	2. Cũng. Aáu ăt myøn mse\ si kâo mơh: Nó cũng nghĩ như tôi; Ih la] snăn
	 
B	 
Ba (đgt)	Mang. Djă ba: Mang theo. 
Ba tian (đgt)	Mang bầu (có chửa dùng cho người).
Ba kđi (đgt)	Bồi thường.
Bai (dt)	Giỏ. Bai djah: Giỏ rác.
Bai đih (dt)	Nôi (em beô).
Ban (đgt)	Trườn.
Bă (đgt)	Đụng
Băk (đgt)	Đeo (vào cổ). Băk klei mah: đeo dây chuyền vàng.
Bĕ (tht)	Thôi! (yô hối thuôc). Nao be\ : đi thôi!
Bê (dt)	Dê (con vật). Bê knô: Dê đực; Ana bê: Dê mẹ.
Bhang (dt)	Hè
Bhañ (đgt)	Hăt hơi.
Bhĭ (dt)	Tên của một lịi chim. }yøm bhyø: Chim phí.
Bhiăn (phoï từ)	Thường. Aáu bhiăn kgu\ êla: Nó thường dậy muộn.
Bhiâo (tt)	Một luôc
Bhiâo hin (pht)	Chóng vánh.
Bhiâo riâo rit	Chốc lát
Bhĭr (đgt)	Neôm.
Bhĭt (tt)	Rậm.
Bhĭt pum/bhĭt dliê (dt) 	Bụi rậm.
Bhôk gah (dt) 	Ngăn nhỏ ở gian trước nhà sàn Êđê. 
Bhŏng bhŏng (đgt)	Aòo ạt. K[iă bho\ng bho\ng mse\ si klap: Ra ào ạt như  mối.
Bhung aguah (trt)	Suốt đêm. Mlam bhung aguah hlo\ng amâo pyøt: Suốt đêm không ngủ.
Bhung bhang (tt)	Sáng sủa.
Bi	1. (lt) Còn. Kâo nao mă bruă bi anak kâo dê nao sang hră: Tôi đi làm còn con tôi đi học. 
	2. (trt) Phải. Bi nao mtam ]iăng kơ hmao: Phải đi ngay cho kịp.
Bi ăl (đgt)	Giận nhau.
Bi blŭ (đgt)	Đàm thoại
Bi čĭk (đgt)	Vật nhau.
Bi dơ̆k bi dria (tt)	Rộn rã. 
Bi êdah (đgt)	Thể hiện
Bi hlĭ (tt)	Hòa thuận. 
Bi hdơr (đgt)	Tưởng nhớ.
Bi kbưi (đgt)	Cách ly. 
Bi kjăp (đgt)	Củng cố. 
Bi kmiêk (đgt)	Eøm nhau
Bi lar (đgt)	Trau dồi. 
Bi leh (đgt)	Hịn thành. 
Bi liê (đgt)	Tiêu
Bi lir (gt)	Liền nhau (sát). 
Bi lông	1. Thi (thi cử). Bi lông klei Êđê: Thi tiếng Êđê.
	2. Đua. Bi lông êdeh: đua xe.  
Bi lui (đgt)	Ly dị
Bi mđĭ (đgt)	Nâng cao. Bi mđyø klei thâo săng: Nâng cao kiến thức.
Bi mĭn (đgt)	Suy nghĩ.  
Bi mlih (đgt)	Thay đổi.
Bi mtlaih (đgt)	Giải thít
Bi ruê̆ (đgt)	Kết thuôc
Bi rŭng (đgt)	Gây rối
Bi ŭk bi ăk (tt)	Tấp nập (chỉ sự ồn ào
Bi yông (tt)	Yoù lại nhau.  
Biêng (đgt)	Đập. }ăm biêng: đánh đập.
Biêr (tt)	1. Lùn. Jar mnuih biêr: Dáng người lùn. 
	2.Thấp. Ana kyâo biêr: Cây thấp.
Bih (dt)	Thuộc nhóm dân tộc Êđê.
Bip (dt)	Vịt. Bip knô: Vịt đực.
Bip êa (dt)	Con vịt nước.
Bir (dt)	Vỉa hè. Eùbat ti dlông bir êlan: đi (bộ) trên vỉa hè.
Biut (dt)	Mây.
Blač (đgt)	Mổ. Bla] prô] êbeh: Mổ ruột thừa.
Blah 	I.(đgt)1. Bổ. Blah djuh: bổ củi
          	2. Chẻ. Blah đrao: Chẻ nứa.
	Ii. Từ dùng để đếm số cái
Blang (đgt)	Nở (hoa). Mnga blang: Hoa nở.
Blao (tt)	Nhát. 
Bliư̆ 	I.(đgt). Lật.  Eùdeh bliư\: xe lật.
	Ii.(dt). Lần. Eùma bliư\
Blô (tt)	Bầu (bĩnh). {o# blô: Mặt bầu bĩnh.
Blŭ (đgt)	Nói. Blu\ êku\t: Nói sau lưng; Blu\ lo\k luăl:Nói ngọng; Blu\ mdiêr: Nói quanh co; Blu\ mgao: Nói quá; Blu\ mha]:
Blŭ bi hmư̆ (đgt)	Nói khóe.
Blŭ mhriêng (đgt)	Nói bóng.
Blŭ tlao (đgt)	Cười nói.
Blŭ wah wơ (đgt)	Nói trống không.
Blŭ myâo (đgt)	Nói kheôo. 
Blŭ yăl (đgt)	Nói năng. 
Boh 	I.(dt) 1. Quả
	2. Trứng. Boh mnu\: Trứng gà.
	Ii.(đgt) giặt. Boh ]hum ao: giặt quần áo.
	Iii. Từ dùng để đếm cái. Dua boh k]ok (]hiên): hai cái ly (cheôn). Sa boh sang: một ngôi nhà. Năm boh ]ar: sáu tỉnh. Eùma boh êyûan: năm bậc thang.
Boh anăn (dt)	Danh từ.
Boh anut (dt)	Cái khuy (cuôc áo). Kă boh anut ao: đơm cuôc áo.
Boh areh (dt)	Long não.
Boh bip êđai (dt)	Trứng vịt lộn.
Boh dlông (dt)	Chiều cao
Boh đê̆č (dt)	Hoa văn. Myûam boh đe#]: Dệt hoa văn.
Boh blŭ (dt)	Từ ngữ (từ vựng).
Boh blŭ mčuê (dt)	Giới từ
Boh ƀai (dt)	Diện tích.
Boh ƀleh (dt)	Thận
Boh hră (dt)	Chữ
Boh kbưi (dt)	Cách xa
Boh jhat (tt)	Sự xấu xa.
Boh jing (dt)	1. Tính từ.
	2. Thành quả.
Boh kê̆ñ (dt)	Bánh chè.
Boh kŏ (dt)	Cái đầu. Ruă kno\ng sa boh ko\: đau mỗi cái đầu.
Boh kpăt (dt)	Bồ hòn. Phyø mse\ syø boh kpăt : đăng như quả bồ hòn.
Boh lăn (dt)	Trái đất. Boh lăn dar: Trái đất quay.
Boh m’ô̆(dt)	1. Hầu (người)
	2. Xịi rừng (hột nhỏ).
Boh mdê (dt)	Đặc thù.
Boh mtuh (dt)	Lựu đạn.
Boh nik (nak) (tt)	Nhất là. 
Boh păm (dt)	Bồ kết. }ô ko\ ho\ng êa boh păm: Gội đầu băôûng nước bồ kết.
Boh pha (dt)	Băp vế.
Boh phŭn (dt)	Nội dung. 
Boh pia (dt)	Phụ âm.
Boh tih (dt)	Băp chân.
Boh tluôn (dt)	Cái mông.
Bŏ (tt)	Đầy. 
Bŏk (đgt)	Sưng
Bŏk yơi (dt)	Quai bị.
Bŏk wi wu (đgt)	Sưng vù. 
Bŏng bŭ (dt)	Beãm bịp.
Bông (dt)	Quan tài (hòm).
Bơ bhô (tt)	Eøuïng ộc.
Braih (dt)	Gạo. Ple#] braih: Vo gạo.
Braih ka hroh (dt)	Gạo lức.
Braih mkuê̆ (dt)	Gạo (gạo thóc nói chung). Sang kâo amâo mâo braih mkue# ôh: Nhà tôi không có gạo thóc geã cả.  
Brang (dt)	Gai (cây gai).
Brei (đgt)	Cho. 
Bring (tt)	Rỉ
Brô̆(dt)	Đàn. Pe\ bro#: đánh đàn (ghi ta).
Bru bra (đgt)	Tán loạn.
Brŭ (tt)	Thối. {âo bru\: Hôi thối. 
Brŭ hiă (tt)	Thối hoăc
Bruă (dt)	Việc.
Bruă čuăn (dt)	Quy định
Bruă kmrơ̆ng dhông (dt) 	 
Bruă lŏ hma (dt)	Nông nghiệp
Bruă lĭng kahan (dt)	Quân sự.
Bruă mă (dt)	Nghề nghiệp. 
Bruă mă hgăm (dt)	Công tác bí mật.
Bruă mă kơ lu mnuih (dt) 	 
Bruă mdrao mgŭn (dt)  	1. Y tế. Knơ\ng bruă mdrao mgu\n: Trung tâm y tế. 
	2. Y khoa. Sang hră gưl pro\ng hriăm bruă mdrao mgu\n:   Trường đại học y khoa.
Bruă mgang ala čar (dt) 	Quốc phòng.
Bruă mjeh mjuk (dt)	Công tác dân vận.
Bruă tĭng yap (dt)	Kế tín.
Bruă truh (dt)	Sự việc.
Bruă yua (dt)	Công dụng.
Bruă yua kiê kngan (dt)	Nghề thủ công.
Brung (tt)	Đốm. Miêu brung: mèo đốm.
Brung brê̆č (tt)	Sặc sỡ. H’ô ao brung bre#]: Mặc áo sặc sỡ.
Buê (dt)	Hoa tai (bông tai). }u\t buê mah: đeo bông tai vàng.
Buh (đgt)	1. Đeo ( ở tay
	2. Trỉa. Buh mdiê: Trỉa luôa.
Buk 	I. (tt) phồng.
	Ii. (dt) nệm. 
Bum (tt)	Mù
Bŭr (đt)	Hạch. Bo\k buôr: Sưng hạch.
Bur (dt)	Cháo. {ơ\ng bur: aûn cháo.
Bŭ (dt)	Con gái (gọi thân trong nhà). Eû bu\
Bŭč (đgt)	Nhổ. Bu\] rơ\k mdiê: Nhổ cỏ luôa.
Bŭl (tt)	Cuộn (dây
Bŭng (dt)	Cái gùi. Bu\ng điêt: Gùi nhỏ.
Bư̆ (đgt)	Rào. Bư\ mnư\: Rào hàng rào.
Bư̆ guê (đgt)	Đăp bờ.
Bưn (dt)	Vườn (ở xa nhà
Bưng (dt)	Bát (làm băôûng bầu khô). 
Bưng gŏ (dt) 	Nồi niêu.
	 
Ƀ	 
Ƀah (tt)	Mẻ (sứt). }hiên [ah: Cheôn bị mẻ.
Ƀah dah...ƀah dah	Vừa...vừa. Ayo\ng kâo [ah dah ]iăng nao hma [ah dah ]iăng đru ama ngă sang: Anh tôi vừa muốn đi róy vừa muốn giuôp bố tôi làm nhà.
Ƀai 	I.(tt) rộng.  {ăng bhă anei [ai: cái cửa này rộng. 
                    	Ii.(đgt) aoûc ôn. Phung jhat [ai: bọn ác ôn.
Ƀai kdai (tt)	Rộng rãi.
Ƀaih (ct)	Eøi (chỉ sự ngạc nhiên).
Ƀaih haih (ct)	Aoûi chà.
Ƀal (đgt)	Đẽo.
Ƀă (đgt)	Địu
Ƀă anak lung êra	Chửa con so.
Ƀă pum (dt)	Chửa hoang.
Ƀăl (tt)	Chát.
Ƀăng (dt)	1. Lỗ. {ăng adu\ng: Lỗ mũi.
	2. Hốc. {ăng êro\ng kyâo: Hốc cây
	3. Hầm. {ăng ê-ưng: Cái hầm.
	4. Hang (động). {ăng ariêng: Hang cua. {ăng boh tâo: Hang đá. 
Ƀăng bhă (dt)	Cái cửa (dùng chung).
Ƀăng bhă điêt (dt)	Cửa sổ.
Ƀăng bhă prŏng (dt)	Cửa ra vào.
Ƀăng đuê̆ dăp (dt)	Hầm hào.
Ƀăng eh (dt)	Hậu môn.
Ƀăng êa (dt)	Giếng nước. 
Ƀăng êgei (dt)	Miệng (mồm).
Ƀăng jang (dt)	Cổng
Ƀâo (tt)	Hôi. 
Ƀâo brŭ (tt)	Hôi thối.
Ƀâo iu (tt)	Eøi thiu ( Bị ôi
Ƀâo khơr (tt)	Khai ( mùi khai)
Ƀâo kmĭl (tt)	Hôi nách.
Ƀâo mnâo (đgt)	Đánh hơi.
Ƀâo mngưi (tt)	Thơm (mùi thơm). Mnga [âo ngưi: Hoa thơm.
Ƀap (dt)	Cái ví. {ap dưm prăk: Cái ví bỏ tiền; {ap djă ti kngan; Ví xách tay.
Ƀar (đgt)	Mặc (váy
Ƀar h’ô (đgt)	Aûn mặc.
Ƀĕ (dt)	1. Cái. Tlâo [e\ giê: Ba cái que. 
	2. Cây. Dua [e\ giê ]ih: Hai cây viết; Năm [e\ ana [ơr: Sáu cây bơ.
Ƀê̆č (đgt)	Bóy. {e#] [ưi: đặt bóy; {e#] kkuih: Bóy chuột.
Ƀê̆č ƀê̆č 	Lẩm bẩm. 
Ƀê̆ñ (dt)	Bánh. {e#YÛ [ao: Bánh bao; {e#YÛ boh hra: Bánh rán; {e#YÛ trang: Bánh tráng. 
Ƀê̆ñ hra (dt)	Đường ăn.
Ƀê̆ñ kpŭng (mi) (dt)	Bánh meã.
Ƀê̆ñ mlim (dt)	Kẹo. Pluh klo\ mlim: Mười viên kẹo.
Ƀhĭ (tt)	Nát
Ƀhĭ ƀhê̆ñ (tt)	Li ti.
Ƀhiăr (tt)	Phẳng leã. 
Ƀhơi (đgt)	Đáng.
Ƀhu (đgt)	Phơi.
Ƀhư (tt)	Rộ. Mdiê ksă [hư: Luôa chín rộ.
Ƀhŭl (dt)	Bụi mù.
Ƀhur (tt)	Thổi. {hur pui: Thổi lửa.
Ƀi (yu)	Bi. Boh [i: Viên bi.
Ƀiă (tt)	Æt.
Ƀiă dhit	Quá ít.
Ƀiă ƀiă (tt)	Chuôt ít.
Ƀiă dah (lt)	Nhưng.
Ƀiêk (dt)	Khóe miệng
Ƀiêp ƀiêp (tt)	Nhai nhải. Blu\ [iêp [iêp: Nói nhai nhải.
Ƀiêr (dt)	Bia. Mnăm [iêr: Uống bia.
Ƀik ƀik (tt)	Nườm nượp. Mmông mă bruă êdeh êrô [ik [ik bo\ êlan bi kduê: Giờ cao điểm xe nườm nượp nối đuôi nhau.
Ƀĭng (dt)	Bạn. 
Ƀĭng găp (dt)	Bạn bè. 
Ƀĭng khăp (dt)	Người yêu.
Ƀĭng kna (dt)	Đồng chí.
Ƀlă (dt)	Ốc sên.
Ƀlĕ (đgt)	1. Chảy. Eùa [le\: Nước chảy. 
	2. Mọc. Yang hruê [le\: Mặt trời mọc. 
	3. Trổ. Mdiê mrâo [le\: Luôa mới trổ bông.
Ƀlĕ eh (đgt)	Ía. Hđeh điêt [le\ eh hlăm ]hum: đứa beô ỉa trong quần.
Ƀlĕ êa ală (đgt)	Rơi nước măt.
Ƀlĕ k’hŏ k’hang (đgt)	Tít mồ hôi.
Ƀlĕ tlao (đgt)	Pheã cười (bật cười).
Ƀlĕ k’ul (tt)	{Uồn nôn.
Ƀlê̆č ƀlir (tt)	Đểu. Eùđai [le#] [lir: đồ đểu.
Ƀlia (tt)	Láng. {u\k gyø [lia: Tóc chảy láng bóng.
Ƀling (tt)	Leô. Ală [ling: Măt leô.
Ƀlĭp ƀlĭp (tt)	Chớp (ánh sáng). 
Ƀlir (đgt)	1. Dán. {lir rup: Dán heãnh (ảnh). 
Ƀlir ƀlir (tt)	Long lanh. 
Ƀlĭt (tt)	Dính.  {ơ\ng đio\ [lyøt kngan: aûn xôi dính tay.
Ƀloh (dt)	Muỗi.
Ƀlŏng ƀlŏng (tt)	Veôo von.
Ƀlŏng ƀlut (tt)	Lênh đênh.
Ƀlô (dt)	Một nhánh người thuộc dân tộc Êđê.
Ƀlông (dt)	Gòn. Ana [lông: Cây gòn.
Ƀluôn (dt)	Muôi. {luôn boh kneh: Muôi mít.
Ƀlŭng (dt)	Hố.
Ƀô (đgt)	Mê . {ô mniê êra siam: Mê cô gái đẹp.
Ƀôñ (tt)	Bện. {ôyû klei: Bện dây.
Ƀô̆(tt)	Mặt. {o# wyøl: Mặt tròn; Tuôm [o# so# ală: Găp nhau tay băt mặt mừng. 
Ƀô̆mta (dt)	Khuôn mặt (mặt mày). 
Ƀơ̆ng	I. (đgt) 1. Aûn (ăn trái cây
	2. Cháy. Pui [ơ\ng sang: Cháy nhà.
	Ii. (tt) 2. Săc (beôn). Dho\ng [ơ\ng: dao săc (beôn).
Ƀơ̆ng dôč (tt)	Aûn vặt.
Ƀơ̆ng hŏng kngan	Aûn bốc.
Ƀơ̆ng ngăn (tt)	Aûn hối lộ
Ƀrĭk (dt)	Gạch. Klo\ [ryøk: Viên gạch.
Ƀrah ƀrơp (tt)	Long đong.  
Ƀrô mơh	May ra.
Ƀrôč (tt)	1. Thủng. Go\ [rô]: Nồi bị thủng. 
	2. Dột. Sang [rô]: Nhà bị dột.
Ƀruêh (dt) (Anh)	Bàn chải. {ruêh ]hao êgei: Bàn chải đánh răng.
Ƀrôk ƀrôk (tt)	Oang oang. 
Ƀrŏng (dt)	Ngọn (cây).
Ƀru ƀra (tt)	Tán loạn.
Ƀruih (dt)	Bụi. 
Ƀruih ƀram (dt)	Bụi bặm.
Ƀrŭk ƀrŭk (tt)	Sùng sục. Eùa ktơ\ng [ru\k [ru\k: Nước sôi sùng sục.
Ƀrư̆ ƀrư̆ (tt)	Dần dần
Brư̆ hruê ƀrư̆(lt)	Càng ngày càng. 
Ƀuah (đgt) 	Trách. 
Ƀuăn (đgt)	Hứa. Klei [uăn: Lời hứa.
Ƀuăn rơ̆ng (đgt)	Cam đoan
Ƀuh (đgt)	Thấy. Ală [uh
Ƀuh klei soh	Thấy khuyết điểm.
Ƀun (dt)	Nghèo.
Ƀun ƀin (dt)	Nghèo nàn.
Ƀuôn (dt)	1.buôn
                                	2. Aõaúp. Ryøng mnuih [uôn sang jing [uôn: Chiêu dân lập ấp.
Ƀuôn hgŭm (dt)	Phường
Ƀuôn phŭn (dt)	Thủ đô.
Ƀuôn prŏng (dt)	Thành phố
Ƀuôn sang (dt)	Làng mạc
Ƀuôr (đgt)	Khơi (mương). {uôr êa nao hlăm lo\: Khơi nước vào ruộng.
Ƀur (dt)	Bụi cây nhỏ (lùm cây ). {ur kpal: Bụi rậm.
Ƀŭk (dt)	Tóc. GYØ [u\k: Chải tóc. {u\k k]ar: Tóc sâu
Ƀŭk ƀiêk (dt)	Tóc tai. 
Ƀŭl ƀŭl (tt)	Đông đuôc.
Ƀư̆ (đgt)	Eõỡn (người)
	 
Č	 
	 
Čah (dt)	Vấp. Tăm ]ah boh tâo: Vấp phải đá.
Čai (dt)	Nhựa cây dầu
Čaih (đgt)	Bừa. }aih lo\: Bừa ruộng. 
Čam (dt)	Chăm. Phung Chăm: Người chăm.
Čan (đgt)	Vay. }an prăk: Vay tiền. 
Čang (đgt)	1. Mong
	2. Viếng
Čang hmang (đgt)	Trông mong. 
